feature,base_feature,importance,importance_abs,importance_rank,importance_share,feature_group
num__cmhc_rental_supply_new_added_yoy_change,cmhc_rental_supply_new_added_yoy_change,0.0,0.0,43,0.0,macro_temporal
num__cmhc_rental_supply_new_added_lag1,cmhc_rental_supply_new_added_lag1,0.0,0.0,44,0.0,macro_temporal
num__cmhc_rental_supply_net_change_total_yoy_change,cmhc_rental_supply_net_change_total_yoy_change,0.0,0.0,45,0.0,macro_temporal
num__cmhc_rental_supply_existing_converted,cmhc_rental_supply_existing_converted,0.0,0.0,46,0.0,macro_temporal
num__cmhc_rental_supply_net_change_total_lag1,cmhc_rental_supply_net_change_total_lag1,0.0,0.0,47,0.0,macro_temporal
num__cmhc_rental_supply_new_added,cmhc_rental_supply_new_added,0.0,0.0,48,0.0,macro_temporal
num__cmhc_rental_supply_net_change_total,cmhc_rental_supply_net_change_total,0.0,0.0,49,0.0,macro_temporal
num__ircc_pr_bc_total_yoy_change,ircc_pr_bc_total_yoy_change,0.0,0.0,50,0.0,macro_temporal
num__study_permits_bc_total_yoy_change,study_permits_bc_total_yoy_change,0.0,0.0,51,0.0,macro_temporal
num__study_permits_bc_total_lag1,study_permits_bc_total_lag1,0.0,0.0,52,0.0,macro_temporal
num__study_permits_bc_total,study_permits_bc_total,0.0,0.0,53,0.0,macro_temporal
num__ircc_pr_vancouver_cma_yoy_change,ircc_pr_vancouver_cma_yoy_change,0.0,0.0,54,0.0,macro_temporal
num__ircc_pr_bc_total_lag1,ircc_pr_bc_total_lag1,0.0,0.0,55,0.0,macro_temporal
num__ircc_pr_vancouver_cma_lag1,ircc_pr_vancouver_cma_lag1,0.0,0.0,56,0.0,macro_temporal
num__neigh_prev_3yr_rolling_mean_land_value,neigh_prev_3yr_rolling_mean_land_value,0.0,0.0,57,0.0,other
